ECS ID,OEIS ID,Description,Terms
1,A000598,Alcohols or unlabelled  non plane ternary Trees,"0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 4, 0, 0, 8, 0, 0, 17, 0"
2,A000031,Necklaces of 2 colours; binary irreducible polynomials whose degree divides n,"0, 2, 3, 4, 6, 8, 14, 20, 36, 60, 108, 188, 352, 632, 1182, 2192, 4116, 7712, 14602, 27596, 52488"
3,A001867,Necklaces of 3 colours,"0, 3, 6, 11, 24, 51, 130, 315, 834, 2195, 5934, 16107, 44368, 122643, 341802, 956635, 2690844, 7596483, 21524542, 61171659, 174342216"
4,A001868,Necklaces of 4 colours,"0, 4, 10, 24, 70, 208, 700, 2344, 8230, 29144, 104968, 381304, 1398500, 5162224, 19175140, 71582944, 268439590, 1010580544, 3817763740, 14467258264, 54975633976"
5,A001869,Necklaces of 5 colours,"0, 5, 15, 45, 165, 629, 2635, 11165, 48915, 217045, 976887, 4438925, 20346485, 93900245, 435970995, 2034505661, 9536767665, 44878791365, 211927736135, 1003867701485, 4768372070757"
6,A000079,Words of n letters in a two letters alphabet,"1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 1048576"
7,A000244,Words of n letters in a three letters alphabet,"1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147, 531441, 1594323, 4782969, 14348907, 43046721, 129140163, 387420489, 1162261467, 3486784401"
8,A000302,Words of n letters in a four letters alphabet,"1, 4, 16, 64, 256, 1024, 4096, 16384, 65536, 262144, 1048576, 4194304, 16777216, 67108864, 268435456, 1073741824, 4294967296, 17179869184, 68719476736, 274877906944, 1099511627776"
9,A000045,"Words with at most 1 consecutive b-letters; Fibonacci numbers; integer F(n) such that F(n)=F(n-1)+F(n-2), F(0)=F(1)=1","1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144, 233, 377, 610, 987, 1597, 2584, 4181, 6765, 10946, 17711"
10,A000073,Words with at most 2 consecutive b-letters; Tribonacci numbers,"1, 2, 4, 7, 13, 24, 44, 81, 149, 274, 504, 927, 1705, 3136, 5768, 10609, 19513, 35890, 66012, 121415, 223317"
11,A000078,Words with at most 3 consecutive b-letters; Tetranacci numbers,"1, 2, 4, 8, 15, 29, 56, 108, 208, 401, 773, 1490, 2872, 5536, 10671, 20569, 39648, 76424, 147312, 283953, 547337"
12,A001591,Words with at most 4 consecutive b-letters; Pentanacci numbers,"1, 2, 4, 8, 16, 31, 61, 120, 236, 464, 912, 1793, 3525, 6930, 13624, 26784, 52656, 103519, 203513, 400096, 786568"
13,A001592,Words with at most 5 consecutive b-letters; Hexanacci numbers,"1, 2, 4, 8, 16, 32, 63, 125, 248, 492, 976, 1936, 3840, 7617, 15109, 29970, 59448, 117920, 233904, 463968, 920319"
14,A000930,Words with at least 2 consecutive b-letters,"0, 0, 1, 1, 1, 2, 3, 4, 6, 9, 13, 19, 28, 41, 60, 88, 129, 189, 277, 406, 595"
15,A000110,Set partitions with all blocks of size >=1; Bell numbers,"1, 1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975, 678570, 4213597, 27644437, 190899322, 1382958545, 10480142147, 82864869804, 682076806159, 5832742205057, 51724158235372"
16,A000296,Set partitions with all blocks of size >=2; expansion of exp(exp(x)-1-x),"1, 0, 1, 1, 4, 11, 41, 162, 715, 3425, 17722, 98253, 580317, 3633280, 24011157, 166888165, 1216070380, 9264071767, 73600798037, 608476008122, 5224266196935"
17,A000085,Set partitions with all blocks of size <=2; self-conjugate permutations on n letters; involution numbers a(n)=a(n-1)+(n-1)a(n-2),"1, 1, 2, 4, 10, 26, 76, 232, 764, 2620, 9496, 35696, 140152, 568504, 2390480, 10349536, 46206736, 211799312, 997313824, 4809701440, 23758664096"
18,A001680,"Set partitions with all blocks of size <=3; the partition function G(n,3)","1, 1, 2, 5, 14, 46, 166, 652, 2780, 12644, 61136, 312676, 1680592, 9467680, 55704104, 341185496, 2170853456, 14314313872, 97620050080, 687418278544, 4989946902176"
19,A001681,"Set partitions with all blocks of size <=4; the partition function G(n,4)","1, 1, 2, 5, 15, 51, 196, 827, 3795, 18755, 99146, 556711, 3305017, 20655285, 135399720, 927973061, 6631556521, 49294051497, 380306658250, 3039453750685, 25120541332271"
